Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C2, C41, C42, C44, C45, C46, C47, C5, C6, C7, C8",0805,16,Cap 22uF,C45783
"C10, C3, C4, C9",0402,4,Cap 100nF,C307331
"C15, C16, C17",0402,3,Cap 12pF 0402,C1547
"C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C34, C35, C36, C37, C38, C39, C40, C43",0402,23,Cap 4.7uF 0402,C1538
C33,0402,1,Cap 22nF 0402,C1532
D1,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,LM66200,C3235556
"D2, D4, D6, D8",0805,4,Green,C2297
"D3, D5, D7, D9",0805,4,Amber,C2296
FB1,0402,1,120 ohm,C85812
"J1, J3, J4, J5",USB_A_Connfly_DS1095,4,USB_A,C456018
J31,DC-IN-TH_DC-5520-1,1,DC Connector,C16214
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,C2691448
J7,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2765186
"L1, L2",L_Changjiang_FXL0630,2,"10uH, 4.5A",C167223
L3,IND-SMD_L3.0-W3.0_LQH3NPN,1,L 2.2uH 2A,C285842
"R1, R12, R13, R16, R17, R19, R2, R24, R27, R3, R30, R32, R37, R38, R44, R45, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R8, R9",0402,33,R 10k 0402,C25744
"R10, R18, R25, R28, R31, R36, R4, R5, R7",0402,9,R 5.1k 0402,C25905
R11,0402,1,R 100k 0402,C25741
"R15, R21, R41, R46",0402,4,R 0 ohm 0402,C17168
"R20, R23, R26, R29",0402,4,R 510 0402,C25123
R40,0402,1,R 1M 0402,C26083
"TP1, TP10, TP11, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.5mm,11,TestPoint,
"U1, U2",SOT-583-8,2,TPS62933,C3200405
U3,QFN-76_L9.0-W9.0-P0.40-BL-EP,1,GL3523-OTY30,C390630
U4,DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,USB-PD,C22373734
"U5, U6, U7, U8",SOT-23-5,4,LPW5209AB5F,C387727
U9,SOIC-8_5.3x5.3mm_P1.27mm,1,MX25L1006EMI-10G,C71944
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal 25MHz 2016,C19711739
